Slug,FactID,File,HostedUrl
snick-slide-3,HAL-015,carousels/snick/slide-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/c803d036-e76e-4bc1-a23a-061f9a65b006.jpg
snick-slide-4,HAL-015,carousels/snick/slide-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6588109-74ac-4cbe-8504-73063d23d62d.jpg
snick-slide-5,HAL-015,carousels/snick/slide-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0b6985b7-e897-42d5-a5d3-39f5d97e1204.jpg
slides-turnip,HAL-002,SLIDES-turnip.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/60793e34-097a-42e6-ad04-981dc3f4f243.mp4
trackA-hal-003,HAL-003,,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d135e026-db63-432e-8f91-4613e186b251.mp4
trackA-hal-004,HAL-004,,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/61382cad-b1e8-4107-a772-9de73c36ced3.mp4
trackA-hal-006,HAL-006,,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/4b3c1214-d19b-42ca-b959-a5e6715aadda.mp4
trackA-hal-007,HAL-007,,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/2acb99e6-c069-4ece-980d-9ed0569ca477.mp4
trackA-hal-020,HAL-020,,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1c247fa9-edeb-48aa-a2fe-298efe46722e.mp4
casper-slide-1,HAL-012,carousels/casper/slide-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e71eedbe-bcc4-4568-b6b3-5675cd359a14.jpg
casper-slide-2,HAL-012,carousels/casper/slide-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/f1dcf405-f495-471d-b8bf-5280225e0d1b.jpg
casper-slide-3,HAL-012,carousels/casper/slide-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/de6a1778-da51-4f1b-86ec-a7469954959e.jpg
casper-slide-4,HAL-012,carousels/casper/slide-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6b18361-19ad-41d8-a564-a5de78dadc24.jpg
casper-slide-5,HAL-012,carousels/casper/slide-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/65a0fb40-fd5d-4bd7-a85a-a4481c33ec07.jpg
casper-tall-1,HAL-012,carousels/casper/tall-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0f0434cb-3a01-4e43-b970-9a35558301a0.jpg
casper-tall-2,HAL-012,carousels/casper/tall-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/44109050-074f-4fd4-92f3-f654ed78c36e.jpg
casper-tall-3,HAL-012,carousels/casper/tall-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/59cb0a60-9b01-4a7a-82c2-d40414491227.jpg
casper-tall-4,HAL-012,carousels/casper/tall-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/772dec35-4817-4aad-967f-27a725f6db0c.jpg
casper-tall-5,HAL-012,carousels/casper/tall-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/15a9c529-daee-4068-b2fd-a8a7fdf2ed0b.jpg
coffinbell-slide-1,HAL-005,carousels/coffinbell/slide-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/6144ea1a-2d3d-4f5a-a07a-f63e0de0326b.jpg
coffinbell-slide-2,HAL-005,carousels/coffinbell/slide-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ce07d919-514c-4697-b600-c8e3f5d124cc.jpg
coffinbell-slide-3,HAL-005,carousels/coffinbell/slide-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/9fbcb85f-a72e-4b1b-b31f-7a0333e5224f.jpg
coffinbell-slide-4,HAL-005,carousels/coffinbell/slide-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d8cc0592-114b-43d6-a8d4-0ce5b099c80a.jpg
coffinbell-slide-5,HAL-005,carousels/coffinbell/slide-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3de884e-2c71-4495-8ea1-c33332419e91.jpg
coffinbell-tall-1,HAL-005,carousels/coffinbell/tall-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/376656c7-c773-4b72-8a6c-8873f59f41c9.jpg
