id,postTimeUTC,countdown,platform,accountId,fact,factGuess,roster
4231495,2026-09-13T13:30,,linkedin,20723,,my-posting-queue-was-completely-full-and,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231064,2026-09-13T14:00,,facebook,30840,turnip,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237045,2026-09-13T14:30,,youtube,36129,samhain,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231067,2026-09-13T15:00,,tiktok,41488,snick,,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732518,2026-09-13T17:00,,instagram,45886,,pov-you-peed-in-mom-s-office,facebook|instagram|linkedin|pinterest|tiktok|youtube
4189711,2026-09-13T17:00,,tiktok,41488,,hocus-pocus-was-a-flop-it-opened,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732520,2026-09-13T17:10,,facebook,30840,,becoming-her-does-not-look-aesthetic-i,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231061,2026-09-13T17:20,,youtube,36129,casper,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231065,2026-09-13T19:30,,facebook,30840,afraidark,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4237049,2026-09-13T20:20,,youtube,36129,trackA-hal-007,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4244559,2026-09-13T21:00,,pinterest,6328,lugnano,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059644,2026-09-13T22:00,,facebook,30840,,she-picked-the-blanket-with-the-gold,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059641,2026-09-13T23:00,,tiktok,41488,,she-picked-the-blanket-with-the-gold,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093108,2026-09-14T00:00,,instagram,65540,,black-and-gold-girl-on-her-black,facebook|instagram|linkedin|pinterest|tiktok|youtube
4093110,2026-09-14T00:10,,tiktok,55761,,black-and-gold-girl-on-her-black,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231380,2026-09-14T13:30,,linkedin,20723,,your-lint-screen-is-clean-the-duct,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231070,2026-09-14T14:30,,youtube,36129,gb,,facebook|instagram|linkedin|pinterest|tiktok|youtube
