Action,BlotatoId,SlotUTC,Platform,AccountId,Fact,Plate,Reason,MediaUrl
DELETE,4231106,2026-09-15T15:00:00.000Z,tiktok,41488,snick,snick,snick: keeping 4231067 on 41488,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5c08e30f-cc25-4318-a855-dbd2305e12fb.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/915aa807-59ad-46a3-a7fa-751eeb852409.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/29da05d9-ebc2-45f9-a3c2-0766cdb969dd.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/206ae383-34f1-4f31-be9c-cd5ea0d5c61b.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/94481791-ce0b-465f-a73c-391689bfa401.jpeg
DELETE,4059769,2026-09-15T22:00:00.000Z,facebook,30840,OTHER:actually aesthetic becoming bed,OTHER:actually aesthetic becoming bed,identical media file to 3732520,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/4d1ba53c-33b9-4bfd-8372-48a6fb039501.mp4
DELETE,4231113,2026-09-16T14:30:00.000Z,youtube,36129,mare,mare-bedroom,"mare: keeping 4230996,4231153 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/4216864d-f58b-41fa-821c-905816d0b7c1.mp4
DELETE,4231119,2026-09-16T17:20:00.000Z,youtube,36129,nbc,nbc-cemetery,"nbc: keeping 4231155,4231201 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7b4c205a-05e1-4526-8dc8-9c290dcec950.mp4
DELETE,4231121,2026-09-16T19:30:00.000Z,facebook,30840,nbc,nbc-cemetery,"nbc: keeping 4231001,4236594 on 30840",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7a9055ef-bf78-4bb5-9710-16e22dbc7ec8.mp4
DELETE,4231132,2026-09-17T14:30:00.000Z,youtube,36129,mare,mare-bedroom,"mare: keeping 4230996,4231153 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/2aa25b27-cce5-4924-8dad-c0cffbf9d57f.mp4
DELETE,4231141,2026-09-17T15:00:00.000Z,tiktok,41488,gb,gb-bike,"gb: keeping 4024570,4231163 on 41488",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/9214f68e-db0e-4979-823a-e431ffd0d629.mp4
DELETE,4231137,2026-09-17T17:20:00.000Z,youtube,36129,nbc,nbc-cemetery,"nbc: keeping 4231155,4231201 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/50d36695-c506-4b2d-8798-b871a1536ffd.mp4
DELETE,4231142,2026-09-17T20:00:00.000Z,tiktok,41488,nbc,nbc-cemetery,"nbc: keeping 4024572,4059593 on 41488",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/f117809c-2f14-442a-bc31-d383a428e609.mp4
DELETE,4059760,2026-09-18T17:00:00.000Z,tiktok,41488,gb,gb-bike,"gb: keeping 4024570,4231163 on 41488",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e9b6005e-5ec1-42e0-a122-4a821fcd09d5.mp4
